Date, Open,High, Low, Close, Volume
25-Feb-13,153.21,154.21,152.96,153.93,3.80B
26-Feb-13,153.84,154.21,152.92,153.36,3.60B
27-Feb-13,153.97,155.75,153.92,155.49,4.51B
28-Feb-13,156.41,157.93,156.23,157.64,4.36B
1-Mar-13,158.16,159.08,157.5,158.73,3.85B
4-Mar-13,158.75,159.28,157.05,157.43,3.61B
5-Mar-13,157.47,158.66,157.36,157.97,4.13B
6-Mar-13,158.48,161.17,158.41,160.75,5.24B
7-Mar-13,160.68,161.62,160.45,161.62,4.62B
8-Mar-13,161.86,163.56,161.79,162.58,4.17B
11-Mar-13,162.66,162.87,161.01,161.3,3.42B
13-Mar-13,161.34,161.95,159.77,160.56,3.65B
14-Mar-13,160.34,160.41,157.56,158.64,4.11B
15-Mar-13,159.3,161.3,159.3,159.6,3.80B
18-Mar-13,159.46,160.36,158.86,159.68,2.94B
19-Mar-13,160.03,160.81,159.75,159.86,4.42B
20-Mar-13,160.21,160.57,159.33,160.13,4.80B
21-Mar-13,160.13,160.95,158.79,159.49,5.25B
22-Mar-13,159.21,159.81,156.15,156.58,4.37B
25-Mar-13,157.98,158.98,157.71,158.49,3.12B
26-Mar-13,158.65,160.91,158.36,160.28,3.41B
27-Mar-13,160.74,162.81,160.74,162.81,4.49B
28-Mar-13,162.49,162.93,161.37,162.64,2.95B
1-Apr-13,162.36,163.21,162.19,162.6,3.57B
2-Apr-13,162.58,163.41,162.58,163.41,5.99B
3-Apr-13,163.68,164.53,162.95,164.53,5.46B
4-Apr-13,163.96,164,162.48,162.48,3.66B
5-Apr-13,162.7,163.29,161.7,162.18,3.23B
8-Apr-13,162.26,162.68,160.65,161.78,2.93B
9-Apr-13,162.08,162.68,161.1,161.87,2.93B
10-Apr-13,162.13,162.16,160.39,161.05,2.46B
11-Apr-13,161.31,162.57,161.19,162.57,3.08B
12-Apr-13,162.54,163.58,162.54,162.94,3.08B
15-Apr-13,162.58,162.61,161.48,161.71,1.75B
16-Apr-13,161.17,163.67,160.28,163.67,2.55B
17-Apr-13,163.87,165.19,163.77,165.11,2.64B
18-Apr-13,164.58,165.74,164.37,165.74,3.86B
19-Apr-13,165.25,166.37,164.84,165.25,3.74B
22-Apr-13,165.67,166.48,164.7,165.43,2.57B
23-Apr-13,165.67,165.81,164.96,165.11,2.45B
24-Apr-13,165.77,166.36,165.28,166.31,2.37B
25-Apr-13,166,166.13,163.92,165.14,3.42B
26-Apr-13,164.83,165.25,164.35,164.35,2.99B
29-Apr-13,164.6,165.1,164.42,165.1,2.58B
30-Apr-13,165,166.91,164.24,166.91,2.97B
1-May-13,166.27,167.37,165.92,167.37,3.84B
2-May-13,166.86,167.16,165.02,165.42,3.16B
3-May-13,165.26,165.93,162.46,163.17,2.85B
6-May-13,163.27,165.2,163.27,165.04,2.09B
7-May-13,164.66,166.45,164.51,166.38,2.95B
8-May-13,166.47,168.56,166.35,168.41,3.51B
10-May-13,168.34,169.33,167.96,168.69,2.62B
13-May-13,168.56,168.59,166.71,167.56,2.38B
14-May-13,167.37,168.27,166.85,168.27,2.48B
15-May-13,168.28,169.25,168.25,168.63,2.21B
16-May-13,168.86,169.57,168.21,168.32,2.96B
17-May-13,168.28,171.79,168.26,170.95,2.49B
20-May-13,171.75,174.7,171.75,173.45,3.63B
21-May-13,173.65,174.47,171.26,172.19,3.50B
22-May-13,172.1,174.27,172.1,173.68,3.99B
23-May-13,173.13,173.59,169.54,170.34,4.48B
24-May-13,170.96,172.82,170.9,172.08,2.78B
27-May-13,171.46,171.66,168.94,169.43,2.51B
28-May-13,168.92,173.47,168.92,172.85,4.31B
29-May-13,173.33,175.07,171.81,173.93,3.76B
30-May-13,172.97,173.02,170.96,171.39,3.53B
31-May-13,171.71,172.56,169.81,169.81,5.70B
3-Jun-13,169.1,169.73,166.52,166.85,4.06B
4-Jun-13,166.9,168.97,165.22,168.97,3.87B
5-Jun-13,168.25,168.59,166.21,168.59,2.50B
7-Jun-13,167.9,168.03,163.38,163.38,2.69B
10-Jun-13,164.67,165.59,159.62,160.15,2.88B
11-Jun-13,160.48,160.84,152.67,153.84,3.76B
12-Jun-13,153.02,158.91,150.58,158.91,4.01B
13-Jun-13,156.72,157.26,154.07,155.45,3.16B
14-Jun-13,156.47,160.7,156.47,160.2,3.26B
17-Jun-13,159.98,161.74,159.79,160.82,2.42B
18-Jun-13,161.54,164.05,161.54,162.74,3.32B
19-Jun-13,162.96,164.18,161.41,161.46,2.44B
20-Jun-13,159.45,159.45,155.51,156.07,2.91B
21-Jun-13,153,153.62,150.02,151.58,3.25B
24-Jun-13,151.87,153.14,148.49,148.49,2.13B
25-Jun-13,149.52,150.8,146.43,148.73,2.29B
26-Jun-13,150.85,156.98,150.69,155.58,2.52B
27-Jun-13,157.78,161.33,157.78,159.37,2.29B
28-Jun-13,160.99,164.24,160.99,164.24,2.33B
1-Jul-13,161.15,163.56,160.81,161.94,1.37B
2-Jul-13,163.06,163.31,160.08,160.35,1.39B
3-Jul-13,159.82,159.88,155.13,155.24,1.68B
4-Jul-13,156.05,157.62,155.03,155.03,1.53B
5-Jul-13,156.49,157.72,155.09,156.2,1.49B
8-Jul-13,155.31,155.38,150.3,150.3,1.89B
9-Jul-13,151.12,152.37,149.03,149.03,2.18B
10-Jul-13,149.53,152.88,149.48,152.3,2.65B
11-Jul-13,152.96,156.98,152.93,156.04,2.83B
12-Jul-13,156.13,158.37,155.34,156.98,2.14B
15-Jul-13,157.04,157.19,154.93,156.91,1.62B
16-Jul-13,156.68,158.43,156.44,157.28,2.60B
17-Jul-13,157.6,158.53,157.13,158.33,3.01B
18-Jul-13,157.84,159.62,157.77,159.53,2.38B
19-Jul-13,159.18,160.46,158.92,159.7,1.94B
22-Jul-13,160.07,160.34,158.15,158.22,1.70B
23-Jul-13,158.83,161.17,158.83,161.17,2.08B
24-Jul-13,160.61,161.71,157.65,159.09,1.97B
25-Jul-13,159.32,159.43,157.18,157.67,1.65B
26-Jul-13,157.9,158.43,156.27,156.54,1.34B
29-Jul-13,156.56,156.59,153.46,153.88,1.45B
30-Jul-13,154.63,156,154.52,154.82,1.61B
31-Jul-13,155.21,155.79,152.82,154.2,1.95B
1-Aug-13,154.91,155.61,154.18,155.57,1.73B
2-Aug-13,156.22,156.77,155,155.84,1.65B
12-Aug-13,155.69,155.95,153.74,154.72,1.65B
13-Aug-13,155.05,156.64,154.96,156.64,2.09B
14-Aug-13,156.91,158.06,156.42,158.06,2.03B
15-Aug-13,157.09,157.36,156.56,157.22,1.75B
16-Aug-13,156.15,156.15,153.77,153.81,1.92B
19-Aug-13,152.4,152.56,145.09,145.21,2.49B
20-Aug-13,143.06,143.36,136.3,140.17,3.65B
21-Aug-13,140.62,143.54,139.7,142.42,3.41B
22-Aug-13,140.5,141.77,138.96,141.39,4.14B
23-Aug-13,142,143.96,140.72,141.37,2.88B
26-Aug-13,141.74,142.69,139.43,139.43,2.42B
27-Aug-13,138.8,138.84,133.44,133.8,2.91B
28-Aug-13,131.53,137.16,129.47,136.17,3.52B
29-Aug-13,136.86,139.63,136.32,139.53,3.16B
30-Aug-13,139.41,143.92,139.21,143.92,3.42B
2-Sep-13,143.84,144.15,139.11,140.78,2.44B
3-Sep-13,141.13,143.56,140.95,143.1,2.62B
4-Sep-13,142.2,142.23,139.26,139.43,2.57B
5-Sep-13,139.88,141.1,137.13,137.9,2.37B
6-Sep-13,138.29,139.12,136.66,138.92,2.22B
9-Sep-13,140.07,142.75,140.06,142.75,2.79B
10-Sep-13,143.84,147.26,143.84,147.26,4.63B
11-Sep-13,147.98,149.07,144.5,146.6,3.65B
12-Sep-13,145.94,147.33,145.24,146.38,2.67B
13-Sep-13,145.86,147.13,144.95,146.8,2.50B
16-Sep-13,147.88,152.14,147.88,152.14,3.56B
